date,expiration,contract_symbol,option_type,strike,delta,gamma,delta_flag,gamma_flag
2025-01-06,2025-02-05,SPY250205C00414490,call,414.49,0.9622415795957544,0.002857840364243748,False,False
2025-01-06,2025-02-05,SPY250205P00414490,put,414.49,-0.037758420404245596,0.002857840364243748,False,False
2025-01-06,2025-02-05,SPY250205C00437510,call,437.51,0.8120046283432675,0.009075124569935202,False,False
2025-01-06,2025-02-05,SPY250205P00437510,put,437.51,-0.18799537165673252,0.009075124569935202,False,False
2025-01-06,2025-02-05,SPY250205C00460540,call,460.54,0.5363476779149025,0.013975808064754732,True,True
2025-01-06,2025-02-05,SPY250205P00460540,put,460.54,-0.46365232208509755,0.013975808064754732,True,True
2025-01-06,2025-02-05,SPY250205C00483570,call,483.57,0.24535085013668934,0.010920225224899242,False,False
2025-01-06,2025-02-05,SPY250205P00483570,put,483.57,-0.7546491498633107,0.010920225224899242,False,False
2025-01-06,2025-02-05,SPY250205C00506590,call,506.59,0.07500374712369787,0.004936301593780516,False,False
2025-01-06,2025-02-05,SPY250205P00506590,put,506.59,-0.9249962528763022,0.004936301593780516,False,False
2025-01-06,2025-02-20,SPY250220C00414490,call,414.49,0.8918943762786227,0.004325397200561702,False,False
2025-01-06,2025-02-20,SPY250220P00414490,put,414.49,-0.10810562372137733,0.004325397200561702,False,False
2025-01-06,2025-02-20,SPY250220C00437510,call,437.51,0.7498344268802462,0.007628388747191672,False,False
2025-01-06,2025-02-20,SPY250220P00437510,put,437.51,-0.25016557311975385,0.007628388747191672,False,False
2025-01-06,2025-02-20,SPY250220C00460540,call,460.54,0.5422007591384559,0.008721159347980635,True,False
2025-01-06,2025-02-20,SPY250220P00460540,put,460.54,-0.4577992408615441,0.008721159347980635,True,False
2025-01-06,2025-02-20,SPY250220C00483570,call,483.57,0.3406168036763032,0.008438663824695854,False,False
2025-01-06,2025-02-20,SPY250220P00483570,put,483.57,-0.6593831963236968,0.008438663824695854,False,False
2025-01-06,2025-02-20,SPY250220C00506590,call,506.59,0.1752802831807027,0.006116188244332665,False,False
2025-01-06,2025-02-20,SPY250220P00506590,put,506.59,-0.8247197168192972,0.006116188244332665,False,False
2025-01-06,2025-03-07,SPY250307C00414490,call,414.49,0.9349163708639696,0.0036040780949432656,False,False
2025-01-06,2025-03-07,SPY250307P00414490,put,414.49,-0.06508362913603039,0.0036040780949432656,False,False
2025-01-06,2025-03-07,SPY250307C00437510,call,437.51,0.798198796300239,0.008305430047569538,False,False
2025-01-06,2025-03-07,SPY250307P00437510,put,437.51,-0.20180120369976096,0.008305430047569538,False,False
2025-01-06,2025-03-07,SPY250307C00460540,call,460.54,0.5543673078160506,0.011410682056924618,True,False
2025-01-06,2025-03-07,SPY250307P00460540,put,460.54,-0.4456326921839494,0.011410682056924618,True,False
2025-01-06,2025-03-07,SPY250307C00483570,call,483.57,0.29805123362425257,0.010314334443521849,False,False
2025-01-06,2025-03-07,SPY250307P00483570,put,483.57,-0.7019487663757474,0.010314334443521849,False,False
2025-01-06,2025-03-07,SPY250307C00506590,call,506.59,0.1563607522952914,0.0062277423190916364,False,False
2025-01-06,2025-03-07,SPY250307P00506590,put,506.59,-0.8436392477047086,0.0062277423190916364,False,False
2025-01-07,2025-02-06,SPY250206C00417690,call,417.69,0.9593550805329412,0.002951556631837017,False,False
