date,strike,expiration,call_last,call_bid,call_ask,parity_theoretical,put_last,put_bid,put_ask,parity_observed,parity_diff,parity_diff_pct,parity_flag
2025-01-06,414.49,2025-02-05,47.9594,45.0053,50.1107,47.59175369879881,0.3685,0.01,5.1154,47.590900000000005,-0.0008536987988065903,-1.7937956315069287e-05,False
2025-01-06,437.51,2025-02-05,25.6636,24.5152,29.6206,24.65737981799674,0.9061,0.6177,5.7231,24.7575,0.10012018200325912,0.00406045503383876,False
2025-01-06,460.54,2025-02-05,12.4196,9.5897,14.6951,1.7130431335974663,10.0971,8.0151,13.1205,2.3225000000000016,0.6094568664025353,0.3557743844561864,True
2025-01-06,483.57,2025-02-05,3.3236,1.516,6.6214,-21.23129355080181,25.5029,22.7327,27.8381,-22.1793,-0.9480064491981928,0.04465137495884658,True
2025-01-06,506.59,2025-02-05,2.1634,0.01,5.1154,-44.16566743160388,45.193,42.8103,47.9157,-43.029599999999995,1.136067431603884,-0.02572286342922878,True
2025-01-06,414.49,2025-02-20,50.7482,48.1998,53.3052,48.360478674696424,2.0395,0.01,5.1154,48.7087,0.34822132530357663,0.007200535123854676,False
2025-01-06,437.51,2025-02-20,32.6945,29.1458,34.2512,25.468798342460445,7.1615,3.8996,9.005,25.532999999999998,0.06420165753955231,0.0025207964928803954,False
2025-01-06,460.54,2025-02-20,19.1331,16.8844,21.9898,2.567173752912481,16.0663,14.6407,19.7461,3.0668000000000006,0.49962624708751946,0.19462112625633116,True
2025-01-06,483.57,2025-02-20,8.147,6.6333,11.7387,-20.334450836635483,31.1892,27.0908,32.1962,-23.0422,-2.707749163364518,0.133160673239629,True
2025-01-06,506.59,2025-02-20,4.1366,1.3052,6.4106,-43.22613116887146,46.1146,44.2029,49.3083,-41.978,1.2481311688714598,-0.028874459386508306,True
2025-01-06,414.49,2025-03-07,49.654,47.9332,53.0386,49.12777262844088,0.5753,0.01,5.1154,49.078700000000005,-0.04907262844087512,-0.0009988775353610509,False
2025-01-06,437.51,2025-03-07,30.676,27.8581,32.9635,26.278706368474957,4.6741,1.4902,6.5956,26.0019,-0.27680636847495776,-0.010533485347171669,True
2025-01-06,460.54,2025-03-07,15.7832,12.7199,17.8253,3.4197143629572793,11.0313,9.3749,14.4803,4.751900000000001,1.3321856370427216,0.3895604999859352,True
2025-01-06,483.57,2025-03-07,6.1526,3.533,8.6384,-19.43927764256034,25.3395,23.1279,28.2333,-19.1869,0.2523776425603401,-0.012982871442084076,True
2025-01-06,506.59,2025-03-07,3.2445,0.5251,5.6305,-42.28834390252632,44.2131,42.7289,47.8343,-40.968599999999995,1.3197439025263265,-0.03120821911513741,True
2025-01-07,417.69,2025-02-06,51.3402,47.0499,52.1909,47.95613182248735,0.1877,0.01,5.151,51.1525,3.196368177512653,0.06665191824361923,True
2025-01-07,440.89,2025-02-06,27.8192,25.1188,30.2598,24.842009526721824,2.8024,0.029,5.17,25.0168,0.17479047327817554,0.00703608430268729,False
2025-01-07,464.1,2025-02-06,13.9579,10.7404,15.8814,1.7179242472081455,11.5383,8.9246,14.0656,2.419600000000001,0.7016757527918553,0.40844394270129863,True
2025-01-07,487.31,2025-02-06,5.3701,0.811,5.952,-21.406161032305533,23.5825,22.3143,27.4553,-18.2124,3.1937610323055345,-0.14919821576066847,True
2025-01-07,510.51,2025-02-06,0.01,0.01,5.151,-44.52028332807106,47.0951,43.4998,48.6408,-47.085100000000004,-2.564816671928945,0.05761007074076209,True
2025-01-07,417.69,2025-02-21,50.7103,48.1418,53.2828,48.72705020763459,3.3779,0.01,5.151,47.3324,-1.3946502076345908,-0.02862168347338366,True
2025-01-07,440.89,2025-02-21,34.5228,31.2469,36.3879,25.655747482688184,7.1225,5.3769,10.5179,27.400299999999998,1.7445525173118135,0.06799850670844773,True
2025-01-07,464.1,2025-02-21,19.2962,16.7643,21.9053,2.574500230705098,16.1269,14.026,19.167,3.1693,0.5947997692949016,0.23103504214175163,True
2025-01-07,487.31,2025-02-21,9.72,7.5075,12.6485,-20.50674702127793,29.5096,28.0575,33.1985,-19.7896,0.7171470212779312,-0.03497127167628366,True
2025-01-07,510.51,2025-02-21,3.536,2.3741,7.5151,-43.578049746224394,48.2322,46.2474,51.3884,-44.6962,-1.1181502537756032,0.025658565729469795,True
2025-01-07,417.69,2025-03-08,50.9784,47.895,53.036,49.49654044448505,0.7177,0.01,5.151,50.2607,0.7641595555149507,0.01543864578519435,True
2025-01-07,440.89,2025-03-08,31.0858,28.8382,33.9792,26.46797796588146,4.3318,2.0629,7.2039,26.753999999999998,0.2860220341185382,0.010806342459829567,True
2025-01-07,464.1,2025-03-08,17.3444,14.1686,19.3096,3.429489382761176,14.3111,11.0057,16.1467,3.0333000000000006,-0.3961893827611753,-0.11552430654915526,True
2025-01-07,487.31,2025-03-08,6.171,3.848,8.989,-19.608999200359108,25.7148,23.412,28.553,-19.5438,0.06519920035910687,-0.003324963181084369,False
2025-01-07,510.51,2025-03-08,3.7245,0.01,5.151,-42.6375616789627,43.5268,41.7817,46.9227,-39.8023,2.835261678962695,-0.06649680627402313,True
2025-01-08,417.08,2025-02-07,47.7191,45.7123,50.8465,47.898901167247686,0.01,0.01,5.1442,47.7091,-0.18980116724768692,-0.0039625369814844345,False
2025-01-08,440.25,2025-02-07,28.7581,25.5849,30.7191,24.815502634700238,2.4849,0.9488,6.083,26.2732,1.4576973652997616,0.05874139995300442,True
2025-01-08,463.42,2025-02-07,12.6085,9.0216,14.1558,1.7321041021528458,9.7998,7.3184,12.4526,2.8087,1.0765958978471541,0.6215538064421443,True
2025-01-08,486.59,2025-02-07,3.3779,1.3935,6.5277,-21.351294430394546,25.3817,22.9498,28.084,-22.0038,-0.6525055696054523,0.030560468908928568,True
2025-01-08,509.76,2025-02-07,0.5006,0.01,5.1442,-44.43469296294194,45.6133,42.7329,47.8671,-45.112700000000004,-0.678007037058066,0.015258506177223203,True
2025-01-08,417.08,2025-02-22,52.7968,48.6601,53.7943,48.676165399782064,0.6197,0.01,5.1442,52.177099999999996,3.5009346002179313,0.07192297444682456,True
2025-01-08,440.25,2025-02-22,31.9221,29.9031,35.0373,25.63594614283602,7.304,4.1403,9.2745,24.6181,-1.0178461428360208,-0.039703864923294765,True
